to ring the bell;aanbellen
hierarchy, the;hiërarchie, de
below;hieronder
to be in the way;hinderen
heat, the;hitte, de
corner, the;hoek, de
how long;hoelang
to cough;hoesten
amount, the;hoeveelheid, de
gay marriage, the;homohuwelijk, het
homosexual;homoseksueel
head, the;hoofd, het
headache, the;hoofdpijn, de
capital, the;hoofdstad, de
high;hoog
sincerely;hoogachtend
hopeless;hopeloos
wood, the;hout, het
to cry;huilen
family doctor, the;huisarts, de
housemate, the;huisgenoot, de
living room, the;huiskamer, de
homework, the;huiswerk, het
stew, the;hutspot, de
marriage, the;huwelijk, het
marriage contract, the;huwelijkscontract, het
ice, the;ijs, het
ice-cream parlour, the;ijssalon, de
iron, the;ijzer, het
in the distance;in de verte
concerning;in verband met
compared to;in vergelijking met
to breathe in;inademen
share, contribution, the;inbreng, de
suddenly;ineens
informal;informeel
to reduce (in cooking);inkoken
to take;innemen
furnishings, the;inrichting, de
to pour;inschenken
enrolment fees, the;inschrijfgeld, het
instruction, the;instructie, de
influence, the;invloed, de
resident, the;inwoner, de
to irritate;irriteren
what a pity;jammer
iodine, the;jodium, het
to cheer;juichen
barren, empty;kaal
to camp out;kamperen
championship, the;kampioenschap, het
chance, the;kans, de
side, the;kant, de
hair style, the;kapsel, het
cotton, the;katoen, het
sore throat, the;keelpijn, de
main point, the;kern, de
Christmas;kerstdag, de
tomato ketchup, the;ketchup, de
molar, the;kies, de
chin, the;kin, de
finished, ready;klaar
complaint, symptom, the;klacht, de
to complain;klagen
clothing, the;kleding, de
closet, wardrobe, the;kledingkast, de
emphasis, the;klemtoon, de
to take clothes off;kleren uitdoen
to climb;klimmen
to be right;kloppen
crunchy;knapperig
knee, the;knie, de
frying pan, the;koekenpan, de
cool;koel
refrigerator, the;koelkast, de
column, the;kolom, de
bowl, the;kom, de
coming;komend
queen, the;koningin, de
King's Day;Koningsdag, de
fever, the;koorts, de
cold;koud
cross, the;kruis, het
crossing, the;kruispunt, het
to kiss;kussen
coast, the;kust, de
quarter of an hour;kwartier, het
lost;kwijt
to lose;kwijtraken
slow, low;laag
last;laatste
to laugh;lachen
drawer, the;lade, de
sheet, the;laken, het
lamp, the;lamp, de
to land;landen
landscape, the;landschap, het
laptop, the;laptop, de
to suffer from (a pain);last hebben van
troublesome, awkward;lastig
to let;laten
later;later
noise, the;lawaai, het
to lead to;leiden tot
spring, the;lente, de
spoon, the;lepel, de
class, the;les, de
life;leven, het
liver, the;lever, de
part of the body, the;lichaamsdeel, het
light, the;licht, het
song, the;lied, het
love;liefs
dear;lieve
darling, the;lieverd, de
left;links
to the left;linksaf
lip, the;lip, de
loft, the;loft, de
logical;logisch
sky, the;lucht, de
to like;lusten
times;(...)maal
management, the;management, het
massive;massaal
mat, the;mat, de
material, the;materiaal, het
maximum;maximaal
cooperation, the;medewerking, de
medicine, medication, the;medicijn, het
to join;meedoen
to get (something) to take home;meekrijgen
flour, the;meel, het
lake, the;meer, het
to be better than expected;meevallen
to be serious;menen
menstruation, the;menstruatie, de
to notice;merken
knife, the;mes, het
using, with the aid of;met behulp van
to measure;meten
tube, subway, the;metro, de
furniture, the;meubel, het
Madam;mevrouw
middle, the;midden, het
minus;min
minimum;minimaal
minute, the;minuut, de
nauseous;misselijk
to miss;missen
to be foggy;misten
modern;modern
possible;mogelijk
windmill, the;molen, de
mouth, the;mond, de
multicultural;multicultureel
musician, the;musicus, de
backward;naar achteren
ahead, forward;naar voren
night table, the;nachtkastje, het
to imitate;nadoen
namely;namelijk
wet;nat
rainfall, the;neerslag, de
negative;negatief
neck, the;nek, de
to take;nemen
just;net
just like;net als
no one;niemand
kidney, the;nier, de
not need to;niet hoeven
still;nog
north, the;noorden, het
nutmeg, the;nootmuskaat, de
norm, the;norm, de
nostalgia, the;nostalgie, de
nylon, the;nylon, het
officially;officieel
olive oil, the;olijfolie, de
to bandage;(verband) omdoen
surroundings, the;omgeving, de
up;omhoog
down;omlaag
to announce;omroepen
description, the;omschrijving, de
circumference, the;omtrek, de
unknown;onbekend
under;onder
part, the;onderdeel, het
meanwhile;ondertussen
on the way;onderweg
to examine;onderzoeken
in disagreement;oneens
uncomfortable, uneasy;ongemakkelijk
immediately;onmiddellijk
to discover;ontdekken
to meet;ontmoeten
to disinfect;ontsmetten
relaxed;ontspannen
inflammation, the;ontsteking, de
to receive;ontvangen
not mandatory;onverplicht
unbeatable;onverslaanbaar
nonsense, the;onzin, de
eye, the;oog, het
ear, the;oor, het
east, the;oosten, het
based on;op basis van
up and down;op en neer
frankness, openness, the;openheid, de
opening hours, the;openingstijd, de
to operate;opereren
to eat;opeten
to grow up;opgroeien
sunny period, the;opklaring, de
to watch out;opletten
to put on make-up;opmaken
sincere;oprecht
to call up;oproepen
to brag;opscheppen
to hurry up;opschieten
to pull up;optrekken
to cancel;opzeggen
aside;opzij
organisation, the;organisatie, de
old-fashioned;ouderwets
oven, the;oven, de
oven dish, the;ovenschotel, de
all over;over en uit
overburdened;overbelast
to bridge;overbruggen
in the daytime;overdag
to exaggerate;overdrijven
similarity, the;overeenkomst, de
to vomit;overgeven
consultation, the;overleg, het
the day after tomorrow;overmorgen
Easter Monday;paasmaandag, de
to fetch;pakken
pan, pot, the;pan, de
umbrella, the;paraplu, de
perfume shop, the;parfumerie, de
park, the;park, het
partner, the;partner, de
just, only;pas
to match;passen bij
patient, the;patiënt, de
pattern, the;patroon, het
pepper, the;peper, de
percentage, the;percentage, het
period, the;periode, de
personal;persoonlijk
pain, ache, the;pijn, de
piquant, spicy;pikant
pill, the;pil, de
Pentecost;pinkstermaandag, de
spicy;pittig
picture, the;plaatje, het
plastic, the;plastic, het
flat;plat
street map, the;plattegrond, de
countryside, the;platteland, het
sticking plaster, bandaid, the;pleister, de
spot, the;plek, de
police, the;politie, de
wrist, the;pols, de
pole jumping, the;polsstokverspringen, het
popular;populair
positive;positief
wonderful;prachtig
nice;prettig
price, the;prijs, de
principle, the;principe, het
private life, the;privéleven, het
percent, the;procent, het
to taste;proeven
cheers;proost
Protestant;protestants
province, the;provincie, de
punctuality, the;punctualiteit, de
masher, the;pureestamper, de
racket, the;racket, het
ordinal number, the;rangtelwoord, het
to react;reageren
recipe, the;recept, het
straight ahead;rechtdoor
right hand, the;rechterhand, de
(to the) right;rechts
reason, the;reden, de
rule, the;regel, de
to arrange;regelen
rain, the;regen, de
to rain;regenen
raincoat, the;regenjas, de
passenger, the;reiziger, de
relationship, the;relatie, de
relatively;relatief
lane, the;rijbaan, de
traffic direction, the;rijrichting, de
terrace, row house, the;rijtjeshuis, het
to shiver, to shudder;rillen
ride, the;ritje, het
river, the;rivier, de
to call;roepen
to stir;roeren
wheelchair, the;rolstoel, de
round, the;rondje, het
to look around;rondkijken
rosette, the;roosje, het
bad;rot
dirty trick, the;rotstreek, de
route, the;route, de
route, the;routebeschrijving, de
back, the;rug, de
spacious;ruim
way beforehand;ruim van tevoren
space, the;ruimte, de
half-time, intermission, the;rust, de
to fight;ruziemaken
sidetable, the;salontafel, de
society, the;samenleving, de
juicy;sappig
satin, the;satijn, het
harmful;schadelijk
dear, the;schat, de
to divorce;scheiden
to pour;schenken
sharp, spicy;scherp
to shine (sun);schijnen
to peel;schillen
to kick;schoppen
shoulder, the;schouder, de
to gobble;schrokken
to score;scoren
serious;serieus
to serve;serveren
napkin, the;servet, het
simple;simpel
to go skiing;skiën
bedroom, the;slaapkamer, de
ditch, the;sloot, de
to close;sluiten
to slurp;slurpen
taste, the;smaak, de
tasty;smaakvol
tasty;smakelijk
tasteless;smakeloos
to smack one's lips;smakken
to melt;smelten
excuse, the;smoesje, het
cut, the;snee, de
snow, the;sneeuw, de
to snow;sneeuwen
to cut with a knife;snijden
kind of, the;soort, het
exciting;spannend
mirror, the;spiegel, de
muscle, the;spier, de
to be sorry;spijten
athlete, the;sporter, de
gym, the;sportschool, de
office hours, the;spreekuur, het
to spread;spreiden
to jump;springen
sprint, the;sprint, de
jump, the;sprong, de
injection, the;spuitje, het
stuff, the;spul, het
town, the;stad, de
to mash;stampen
to go out;stappen
starting point, the;startplaats, de
statistics, the;statistiek, de
to ask (a question);stellen
opinion, the;stelling, de
strong;sterk
to support;steunen
traffic light, the;stoplicht, het
to stop;stoppen
to blow up a gale;stormen
to bump, to stumble against;stoten
to stretch;strekken
comic, the;strip, de
comic, the;stripverhaal, het
structure, the;structuur, de
study, the;studeerkamer, de
piece, the;stuk, het
symbol, the;symbool, het
symptom, the;symptoom, het
system, the;systeem, het
tablet, pill, the;tablet, de/het
to set the table;tafel dekken, de
table companion, the;tafelgenoot, de
tablecloth, the;tafelkleed, het
table manners, the;tafelmanieren, de
tooth, the;tand, de
dentist, the;tandarts, de
for sale;te koop
against;tegen
to encounter;tegenkomen
head wind, the;tegenwind, de
nowadays;tegenwoordig
sign, the;teken, het
speech bubble, speech balloon, the;tekstballon, de
temperature, the;temperatuur, de
tennis court, the;tennisbaan, de
tennis event, the;tennistoernooi, het
to bring back;terugbrengen
to come back, to return;terugkomen
teaspoon, the;theelepel, de
at home;thuis
during;tijdens
shade, the;tintje, het
oh boy, gosh;tjongejonge
trip, the;tocht, de
to admit;toegeven
future, the;toekomst, de
tourist, the;toerist, de
to add;toevoegen
top, the;top, de
tower, the;toren, de
tear, the;traan, de
to train;trainen
sad;triest
sidewalk, the;trottoir, het
to get married;trouwen
tunnel, the;tunnel, de
second-hand;tweedehands
type, the;type, het
onion, the;ui, de
to split up, to get divorced;uit elkaar gaan
to breathe out;uitademen
challenge, the;uitdaging, de
apart;uiteen
finally;uiteindelijk
expense, the;uitgave, de
to spend;uitgeven
to undress;uitkleden
to come true;uitkomen
to break up;uitmaken
to matter;uitmaken
to invite;uitnodigen
to try out;uitproberen
to rest;uitrusten
only, exclusively;uitsluitend
to pronounce;uitspreken
view, the;uitzicht, het
vaccination, the;vaccinatie, de
to be on a certain date;vallen
be of the opinion;van mening zijn
because of;vanwege
obviously;vanzelfsprekend
to hold on to;vasthouden
safe;veilig
Venice;Venetië
to change;veranderen
surprised;verbaasd
bandage, the;verband, het
prohibition, the;verbod, het
to divide;verdelen
further on;verderop
to anaesthetize, to sedate;verdoven
anaesthesia, the;verdoving, de
sorrow, the;verdriet, het
sad;verdrietig
club, association, the;vereniging, de
meeting, the;vergadering, de
to compare to;vergelijken met
to heat, to warm up;verhitten
to have a slight temperature;verhoging hebben
to move (house);verhuizen
(romantic) relationship, the;verkering, de
shop assistant, the;verkoopster, de
having a cold;verkouden
cold, the;verkoudheid, de
to lose;verliezen
to shift;verplaatsen
compulsory;verplicht
to surprise;verrassen
surprise, the;verrassing, de
difference, the;verschil, het
terrible;verschrikkelijk
addicted;verslaafd
wise, smart;verstandig
familiar;vertrouwd
annoying;vervelend
vehicle, the;vervoermiddel, het
ticket, the;vervoersbewijs, het
referral letter, the;verwijsbrief, de
nasty;vies
finger, the;vinger, de
near, close to;vlak bij
right before;vlak voor
nearby, close;vlakbij
floor, the;vloer, de
carpet, the;vloerbedekking, de
rug, the;vloerkleed, het
foot, the;voet, de
soccer champion, the;voetbalkampioen, de
soccer pitch, football field, the;voetbalveld, het
footpath, the;voetpad, het
enough, sufficient;voldoende
to follow;volgen
to carry on, continue;volhouden
adult, the;volwassene, de
over;voorbij
front door, the;voordeur, de
to show;voordoen
front, the;voorkant, de
to occur;voorkomen
mainly;voornamelijk
to bend over;vooroverbuigen
proposal, the;voorstel, het
carefully;voorzichtig
last, previous;vorig
fork, the;vork, de
shape, the;vorm, de
to enter into;vormen
strange;vreemd
friendly;vriendelijk
to freeze;vriezen
detached;vrijstaand
before, in the past;vroeger
fire, the;vuur, het
to blow (wind);waaien
value, the;waarde, de
to appreciate;waarderen
where to;waarnaartoe
probably;waarschijnlijk
cheek, the;wang, de
washing machine, the;wasmachine, de
sink, the;wastafel, de
watery;waterig
toilet, the;wc, de
match, game, the;wedstrijd, de
weekend, the;weekendje, het
weather, the;weer, het
weather report, the;weerbericht, het
weather forecast, the;weersverwachting, de
weather, the;weertje, het
road, the;weg, de
pasture, meadow, the;weiland, het
alarm clock, the;wekker, de
world, the;wereld, de
worktop, the;werkblad, het
working hours, the;werktijd, de
west;west
law, the;wet, de
wheel, the;wiel, het
to show the way;wijzen
change, the;wijziging, de
wind, the;wind, de
to win;winnen
winter, the;winter, de
wintery;winters
chicory, the;witlof, de
cloud, the;wolk, de
wound, the;wond, de
situation, the;zaak, de
mild;zacht
bag, the;zak, de
to do business;zakendoen
business world, the;zakenwereld, de
stretch of sand, the;zandbed, het
sea climate, the;zeeklimaat, het
soap, the;zeep, de
extremely;zeer
linoleum, the;zeil, het
nerve, the;zenuw, de
nervous;zenuwachtig
visible;zichtbaar
ill;ziek
silver onion, the;zilveruitje, het
to feel like doing something;zin hebben om ... te ...
to kiss;zoenen
sweet;zoet
such a;zo'n
to take care of;zorgen voor
salty;zout
salt, the;zout, het
to sigh;zuchten
south, the;zuiden, het
sour;zuur
to wave;zwaaien
heaviness, the;zwaarte, de
weak;zwak
fare dodger, the;zwartrijder, de
to sweat;zweten
